Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1105,,,,,,delta_rise=0.0_fall=0.5,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.0_fall=0.75,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.0_fall=1.0,2,3,2.160246899469287
1105,,,,,,delta_rise=0.25_fall=0.0,5,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.25_fall=0.25,5,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.25_fall=0.5,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.25_fall=0.75,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.25_fall=1.0,2,3,2.160246899469287
1105,,,,,,delta_rise=0.5_fall=0.0,5,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.5_fall=0.25,5,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.5_fall=0.5,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.5_fall=0.75,4,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.5_fall=1.0,2,3,2.160246899469287
1105,,,,,,delta_rise=0.75_fall=0.0,6,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.75_fall=0.25,6,1.5,0.7637626158259734
1105,,,,,,delta_rise=0.75_fall=0.5,5,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.75_fall=0.75,5,1.8,1.1661903789690604
1105,,,,,,delta_rise=0.75_fall=1.0,2,3,2.160246899469287
1105,,,,,,delta_rise=1.0_fall=0.0,6,1.5,0.7637626158259734
1105,,,,,,delta_rise=1.0_fall=0.25,6,1.5,0.7637626158259734
1105,,,,,,delta_rise=1.0_fall=0.5,5,1.8,1.1661903789690604
1105,,,,,,delta_rise=1.0_fall=0.75,5,1.8,1.1661903789690604
1105,,,,,,delta_rise=1.0_fall=1.0,2,3,2.160246899469287
1105,,,,,,simdrop,2,3,1.632993161855452
1106,0.3041590001792133,0.2613079728919803,7.005425338813832,1.3077779205218334,12,delta_rise=0.0_fall=0.0,4,3,1.5811388300841898
1106,,,,,,delta_rise=0.0_fall=0.25,4,3,1.5811388300841898
1106,,,,,,delta_rise=0.0_fall=0.5,4,3,1.5811388300841898
1106,,,,,,delta_rise=0.0_fall=0.75,3,4,2.449489742783178
1106,,,,,,delta_rise=0.0_fall=1.0,3,4,2.449489742783178
1106,,,,,,delta_rise=0.25_fall=0.0,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.25_fall=0.25,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.25_fall=0.5,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.25_fall=0.75,3,4,2.449489742783178
1106,,,,,,delta_rise=0.25_fall=1.0,3,4,2.449489742783178
1106,,,,,,delta_rise=0.5_fall=0.0,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.5_fall=0.25,7,1.7142857142857142,1.0301575072754254
1106,,,,,,delta_rise=0.5_fall=0.5,7,1.7142857142857142,1.0301575072754254
