Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
1102.0,,,,,,,,delta_rise=0.0_fall=0.75,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.0_fall=1.0,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.25_fall=0.0,4,1.75,0.82915619758885
1102.0,,,,,,,,delta_rise=0.25_fall=0.25,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.25_fall=0.5,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.25_fall=0.75,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.25_fall=1.0,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.5_fall=0.0,4,1.75,0.82915619758885
1102.0,,,,,,,,delta_rise=0.5_fall=0.25,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.5_fall=0.5,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.5_fall=0.75,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.5_fall=1.0,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.75_fall=0.0,4,1.75,0.82915619758885
1102.0,,,,,,,,delta_rise=0.75_fall=0.25,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.75_fall=0.5,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.75_fall=0.75,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=0.75_fall=1.0,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=1.0_fall=0.0,4,1.75,0.82915619758885
1102.0,,,,,,,,delta_rise=1.0_fall=0.25,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=1.0_fall=0.5,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=1.0_fall=0.75,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,delta_rise=1.0_fall=1.0,3,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.0,1,3.5,2.5
1102.0,,,,,,,,multimodal_alpha=0.1,2,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.2,2,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.30000000000000004,2,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.4,2,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.5,2,2.3333333333333335,1.247219128924647
1102.0,,,,,,,,multimodal_alpha=0.6000000000000001,1,3.5,0.5
1102.0,,,,,,,,multimodal_alpha=0.7000000000000001,1,3.5,0.5
1102.0,,,,,,,,multimodal_alpha=0.8,1,3.5,0.5
1102.0,,,,,,,,multimodal_alpha=0.9,1,3.5,0.5
1102.0,,,,,,,,multimodal_alpha=1.0,1,3.5,0.5
1102.0,,,,,,,,simdrop,1,3.5,0.5
1103.0,0.2606813612286795,0.19773689488430277,6.552970063833836,1.317543381113326,0.29579,0.17404739105580794,18.0,delta_rise=0.0_fall=0.0,7,2.25,0.9682458365518543
1103.0,,,,,,,,delta_rise=0.0_fall=0.25,5,3.0,1.1547005383792515
1103.0,,,,,,,,delta_rise=0.0_fall=0.5,4,3.6,2.332380757938121
1103.0,,,,,,,,delta_rise=0.0_fall=0.75,4,3.6,2.332380757938121
1103.0,,,,,,,,delta_rise=0.0_fall=1.0,4,3.6,2.332380757938121
1103.0,,,,,,,,delta_rise=0.25_fall=0.0,9,1.8,0.8717797887081348
1103.0,,,,,,,,delta_rise=0.25_fall=0.25,7,2.25,1.0897247358851685
1103.0,,,,,,,,delta_rise=0.25_fall=0.5,5,3.0,2.0
1103.0,,,,,,,,delta_rise=0.25_fall=0.75,5,3.0,2.0
1103.0,,,,,,,,delta_rise=0.25_fall=1.0,5,3.0,2.0
1103.0,,,,,,,,delta_rise=0.5_fall=0.0,10,1.6363636363636365,0.8813963377120597
1103.0,,,,,,,,delta_rise=0.5_fall=0.25,10,1.6363636363636365,0.8813963377120597
1103.0,,,,,,,,delta_rise=0.5_fall=0.5,10,1.6363636363636365,0.8813963377120597
1103.0,,,,,,,,delta_rise=0.5_fall=0.75,10,1.6363636363636365,0.8813963377120597
1103.0,,,,,,,,delta_rise=0.5_fall=1.0,10,1.6363636363636365,0.8813963377120597
1103.0,,,,,,,,delta_rise=0.75_fall=0.0,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=0.75_fall=0.25,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=0.75_fall=0.5,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=0.75_fall=0.75,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=0.75_fall=1.0,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=1.0_fall=0.0,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=1.0_fall=0.25,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=1.0_fall=0.5,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=1.0_fall=0.75,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,delta_rise=1.0_fall=1.0,14,1.2857142857142858,0.5890150893739515
1103.0,,,,,,,,multimodal_alpha=0.0,3,4.5,2.0615528128088303
1103.0,,,,,,,,multimodal_alpha=0.1,5,3.0,0.816496580927726
1103.0,,,,,,,,multimodal_alpha=0.2,5,3.0,0.816496580927726
1103.0,,,,,,,,multimodal_alpha=0.30000000000000004,6,2.5714285714285716,0.7284313590846836
1103.0,,,,,,,,multimodal_alpha=0.4,6,2.5714285714285716,0.7284313590846836
1103.0,,,,,,,,multimodal_alpha=0.5,6,2.5714285714285716,0.7284313590846836
1103.0,,,,,,,,multimodal_alpha=0.6000000000000001,5,3.0,1.5275252316519468
1103.0,,,,,,,,multimodal_alpha=0.7000000000000001,5,3.0,1.5275252316519468
1103.0,,,,,,,,multimodal_alpha=0.8,4,3.6,1.9595917942265426
1103.0,,,,,,,,multimodal_alpha=0.9,4,3.6,1.624807680927192
1103.0,,,,,,,,multimodal_alpha=1.0,4,3.6,1.624807680927192
1103.0,,,,,,,,simdrop,4,3.6,1.624807680927192
1104.0,0.2695018123472626,0.1069273011198822,6.400172551875677,0.8270206635046187,0.31476,0.19437983548826368,16.0,delta_rise=0.0_fall=0.0,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.0_fall=0.25,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.0_fall=0.5,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.0_fall=0.75,7,2.0,1.4142135623730951
1104.0,,,,,,,,delta_rise=0.0_fall=1.0,2,5.333333333333333,3.0912061651652345
1104.0,,,,,,,,delta_rise=0.25_fall=0.0,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.25_fall=0.25,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.25_fall=0.5,8,1.7777777777777777,1.314684396244359
1104.0,,,,,,,,delta_rise=0.25_fall=0.75,7,2.0,1.4142135623730951
1104.0,,,,,,,,delta_rise=0.25_fall=1.0,2,5.333333333333333,3.0912061651652345
1104.0,,,,,,,,delta_rise=0.5_fall=0.0,9,1.6,1.0198039027185568
